strain nno_ss    nno_bl   nto_ss   nto_bl
-5     17.344463 3.888512 4.147460 1.330201
-4     15.015875 3.694118 3.551672 1.101708
-3     9.052105  3.362494 3.223461 0.880118
-2     7.865392  3.043723 2.947309 0.663707
-1     7.267855  2.893627 2.723696 0.458150
 0     6.823029  2.802569 2.561387 0.322915
 1     6.382879  2.736495 2.339328 0.295828
 2     5.932107  2.671240 2.099110 1.051821
 3     5.479400  2.549789 2.828306 1.890149
 4     4.992428  2.665701 3.383579 2.599148
 5     4.910261  2.901809 3.924382 3.277962
